Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes,Home_Clean,Away_Clean,Home_Score,Away_Score,Leg 1,Leg 2,Extra Time Required,Home_Score_2,Away_Score_2,Home_Pens,Away_Pens
Round of 16,,Wed,22-02-2023,21:00,Interit,,,,ptPorto,,Stadio Giuseppe Meazza,,Head-to-Head,Leg 1 of 2,Inter,Porto,#VALUE!,,1,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Round of 16,,Tue,07-03-2023,20:00,Chelseaeng,,,,deDortmund,,Stamford Bridge,,Head-to-Head,Leg 2 of 2,Chelsea,Dortmund,#VALUE!,,0,1,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Round of 16,,Tue,07-03-2023,20:00,Benficapt,,,,beClub Brugge,,Estádio do Sport Lisboa e Benfica,,Head-to-Head,Leg 2 of 2,Benfica,Club Brugge,#VALUE!,,0,1,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Round of 16,,Wed,08-03-2023,20:00,Tottenhameng,,,,itMilan,,Tottenham Hotspur Stadium,,Head-to-Head,Leg 2 of 2,Tottenham,Milan,#VALUE!,,0,1,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Round of 16,,Wed,08-03-2023,21:00,Bayern Munichde,,,,frParis S-G,,Allianz Arena,,Head-to-Head,Leg 2 of 2,Bayern Munich,Paris S-G,#VALUE!,,0,1,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Round of 16,,Tue,14-03-2023,20:00,Portopt,,,,itInter,,Estádio Do Dragão,,Head-to-Head,Leg 2 of 2,Porto,Inter,#VALUE!,,0,1,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Round of 16,,Tue,14-03-2023,20:00,Manchester Cityeng,,,,deRB Leipzig,,Etihad Stadium,,Head-to-Head,Leg 2 of 2,Manchester City,RB Leipzig,#VALUE!,,0,1,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Round of 16,,Wed,15-03-2023,21:00,Napoliit,,,,deEint Frankfurt,,Stadio Diego Armando Maradona,,Head-to-Head,Leg 2 of 2,Napoli,Eint Frankfurt,#VALUE!,,0,1,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Round of 16,,Wed,15-03-2023,21:00,Real Madrides,,,,engLiverpool,,Estadio Santiago Bernabéu,,Head-to-Head,Leg 2 of 2,Real Madrid,Liverpool,#VALUE!,,0,1,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,,,,,#VALUE!,,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,,,,,#VALUE!,,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,,,,,#VALUE!,,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,,,,,#VALUE!,,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,,,,,#VALUE!,,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,,,,,#VALUE!,,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,,,,,#VALUE!,,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,,,,,#VALUE!,,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,,,,,#VALUE!,,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,,,,,#VALUE!,,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,,,,,#VALUE!,,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,,,,,#VALUE!,,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,,,,,#VALUE!,,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
